./demo_corewar -v 8 valid_champs/Survivor.cor valid_champs/jumper.cor 

Introducing contestants...
* Player 1, weighing 39 bytes, "Survivor" ("Invincible") !
Process 81 hasn't lived for 84 cycles (CTD 36)
Process 79 hasn't lived for 98 cycles (CTD 36)
Process 78 hasn't lived for 82 cycles (CTD 36)
Process 77 hasn't lived for 66 cycles (CTD 36)
Process 76 hasn't lived for 80 cycles (CTD 36)
Process 72 hasn't lived for 83 cycles (CTD 36)
Process 66 hasn't lived for 54 cycles (CTD 36)
Process 65 hasn't lived for 68 cycles (CTD 36)
Process 62 hasn't lived for 46 cycles (CTD 36)
Process 61 hasn't lived for 55 cycles (CTD 36)
Process 60 hasn't lived for 60 cycles (CTD 36)
Process 59 hasn't lived for 69 cycles (CTD 36)
Process 58 hasn't lived for 53 cycles (CTD 36)
Process 57 hasn't lived for 76 cycles (CTD 36)
Process 56 hasn't lived for 90 cycles (CTD 36)
Process 55 hasn't lived for 100 cycles (CTD 36)
Process 54 hasn't lived for 114 cycles (CTD 36)
Process 52 hasn't lived for 54 cycles (CTD 36)
Process 50 hasn't lived for 101 cycles (CTD 36)
Process 48 hasn't lived for 115 cycles (CTD 36)
Process 46 hasn't lived for 99 cycles (CTD 36)
Process 44 hasn't lived for 39 cycles (CTD 36)
Process 42 hasn't lived for 100 cycles (CTD 36)
Process 41 hasn't lived for 56 cycles (CTD 36)
Process 39 hasn't lived for 70 cycles (CTD 36)
Process 38 hasn't lived for 40 cycles (CTD 36)
Process 36 hasn't lived for 71 cycles (CTD 36)
Process 35 hasn't lived for 85 cycles (CTD 36)
Process 31 hasn't lived for 71 cycles (CTD 36)
Process 29 hasn't lived for 85 cycles (CTD 36)
Process 28 hasn't lived for 70 cycles (CTD 36)
Process 27 hasn't lived for 117 cycles (CTD 36)
Process 24 hasn't lived for 71 cycles (CTD 36)
Process 22 hasn't lived for 117 cycles (CTD 36)
Process 19 hasn't lived for 49 cycles (CTD 36)
Process 18 hasn't lived for 116 cycles (CTD 36)
Process 17 hasn't lived for 41 cycles (CTD 36)
Process 16 hasn't lived for 55 cycles (CTD 36)
Process 14 hasn't lived for 116 cycles (CTD 36)
Process 13 hasn't lived for 42 cycles (CTD 36)
Process 12 hasn't lived for 56 cycles (CTD 36)
Process 11 hasn't lived for 41 cycles (CTD 36)
Process 7 hasn't lived for 41 cycles (CTD 36)
Process 6 hasn't lived for 86 cycles (CTD 36)
Process 5 hasn't lived for 87 cycles (CTD 36)
Process 3 hasn't lived for 101 cycles (CTD 36)
Process 1 hasn't lived for 87 cycles (CTD 36)
Process 10 hasn't lived for 9 cycles (CTD -14)
Process 9 hasn't lived for 3 cycles (CTD -14)
Process 4 hasn't lived for 0 cycles (CTD -14)
Contestant 2, "Jumper !", has won !
